Date,Close,Volume,Name
2012-04-26,38.470001,10194400.0,Healthcare-Merck
2012-04-27,38.459999,15514500.0,Healthcare-Merck
2012-04-30,39.240002,19808600.0,Healthcare-Merck
2012-05-01,39.369999,14590000.0,Healthcare-Merck
2012-05-02,39.290001,11528800.0,Healthcare-Merck
2012-05-03,39.169998,10569400.0,Healthcare-Merck
2012-05-04,38.84,11932400.0,Healthcare-Merck
2012-05-07,38.540001,11573700.0,Healthcare-Merck
2012-05-08,38.630001,8762600.0,Healthcare-Merck
2012-05-09,38.09,11965500.0,Healthcare-Merck
2012-05-10,38.389999,9452700.0,Healthcare-Merck
2012-05-11,38.029999,12111400.0,Healthcare-Merck
2012-05-14,38.220001,16272700.0,Healthcare-Merck
2012-05-15,37.740002,10652700.0,Healthcare-Merck
2012-05-16,38.23,15367600.0,Healthcare-Merck
2012-05-17,38.029999,13906000.0,Healthcare-Merck
2012-05-18,37.82,18690600.0,Healthcare-Merck
2012-05-21,37.599998,9300000.0,Healthcare-Merck
2012-05-22,37.459999,12327600.0,Healthcare-Merck
2012-05-23,37.34,11236800.0,Healthcare-Merck
2012-05-24,37.599998,8651700.0,Healthcare-Merck
2012-05-25,37.549999,6591600.0,Healthcare-Merck
2012-05-29,37.59,8792400.0,Healthcare-Merck
2012-05-30,37.400002,9668200.0,Healthcare-Merck
2012-05-31,37.580002,13443100.0,Healthcare-Merck
2012-06-01,37.18,13371600.0,Healthcare-Merck
2012-06-04,37.459999,10915800.0,Healthcare-Merck
2012-06-05,37.5,10560500.0,Healthcare-Merck
2012-06-06,37.900002,12613900.0,Healthcare-Merck
2012-06-07,38.330002,53370900.0,Healthcare-Merck
2012-06-08,38.459999,50924300.0,Healthcare-Merck
2012-06-11,38.470001,46814300.0,Healthcare-Merck
2012-06-12,38.849998,10467000.0,Healthcare-Merck
2012-06-13,38.400002,11566500.0,Healthcare-Merck
2012-06-14,38.790001,12909600.0,Healthcare-Merck
2012-06-15,38.939999,16053000.0,Healthcare-Merck
2012-06-18,38.849998,8254900.0,Healthcare-Merck
2012-06-19,39.23,11901100.0,Healthcare-Merck
2012-06-20,39.209999,11392200.0,Healthcare-Merck
2012-06-21,39.450001,17334700.0,Healthcare-Merck
2012-06-22,40.18,24147900.0,Healthcare-Merck
2012-06-25,39.790001,15348000.0,Healthcare-Merck
2012-06-26,40.060001,11439100.0,Healthcare-Merck
2012-06-27,40.529999,13127500.0,Healthcare-Merck
2012-06-28,40.68,12562500.0,Healthcare-Merck
2012-06-29,41.75,23675500.0,Healthcare-Merck
2012-07-02,41.849998,14334100.0,Healthcare-Merck
2012-07-03,41.810001,7550500.0,Healthcare-Merck
2012-07-05,41.630001,9251400.0,Healthcare-Merck
2012-07-06,41.509998,10060600.0,Healthcare-Merck
2012-07-09,42.130001,20219800.0,Healthcare-Merck
2012-07-10,41.369999,16710400.0,Healthcare-Merck
2012-07-11,41.209999,12362200.0,Healthcare-Merck
2012-07-12,42.91,45955100.0,Healthcare-Merck
2012-07-13,43.470001,16968500.0,Healthcare-Merck
2012-07-16,43.349998,15233400.0,Healthcare-Merck
2012-07-17,44.189999,20143800.0,Healthcare-Merck
2012-07-18,43.939999,16211100.0,Healthcare-Merck
2012-07-19,43.939999,13990100.0,Healthcare-Merck
2012-07-20,43.41,13016800.0,Healthcare-Merck
2012-07-23,43.27,14379100.0,Healthcare-Merck
2012-07-24,42.689999,20376800.0,Healthcare-Merck
2012-07-25,42.619999,12231600.0,Healthcare-Merck
2012-07-26,43.330002,16303300.0,Healthcare-Merck
2012-07-27,45.099998,29980900.0,Healthcare-Merck
2012-07-30,44.48,12950300.0,Healthcare-Merck
2012-07-31,44.169998,12635900.0,Healthcare-Merck
2012-08-01,44.279999,11241500.0,Healthcare-Merck
2012-08-02,43.91,9845900.0,Healthcare-Merck
2012-08-03,44.150002,10015400.0,Healthcare-Merck
2012-08-06,44.490002,9096000.0,Healthcare-Merck
2012-08-07,44.0,10885400.0,Healthcare-Merck
2012-08-08,44.060001,10791000.0,Healthcare-Merck
2012-08-09,44.279999,9987200.0,Healthcare-Merck
2012-08-10,44.57,9290100.0,Healthcare-Merck
2012-08-13,44.419998,8533700.0,Healthcare-Merck
2012-08-14,44.41,6271700.0,Healthcare-Merck
2012-08-15,44.060001,7450600.0,Healthcare-Merck
2012-08-16,43.939999,8395900.0,Healthcare-Merck
2012-08-17,43.34,14836900.0,Healthcare-Merck
2012-08-20,43.75,8731500.0,Healthcare-Merck
2012-08-21,42.939999,10764900.0,Healthcare-Merck
2012-08-22,42.91,8612500.0,Healthcare-Merck
2012-08-23,42.799999,10049500.0,Healthcare-Merck
2012-08-24,43.119999,10161500.0,Healthcare-Merck
2012-08-27,43.049999,7750900.0,Healthcare-Merck
2012-08-28,42.830002,8034200.0,Healthcare-Merck
2012-08-29,43.060001,7608100.0,Healthcare-Merck
2012-08-30,43.119999,8553600.0,Healthcare-Merck
2012-08-31,43.049999,27582400.0,Healthcare-Merck
2012-09-04,43.25,24591000.0,Healthcare-Merck
2012-09-05,43.439999,8334800.0,Healthcare-Merck
2012-09-06,44.240002,9875400.0,Healthcare-Merck
2012-09-07,44.049999,8338300.0,Healthcare-Merck
2012-09-10,44.259998,8995500.0,Healthcare-Merck
2012-09-11,44.330002,8564500.0,Healthcare-Merck
2012-09-12,44.529999,8948500.0,Healthcare-Merck
2012-09-13,44.66,11859900.0,Healthcare-Merck
2012-09-14,43.619999,16537400.0,Healthcare-Merck
2012-09-17,44.0,11010400.0,Healthcare-Merck
2012-09-18,44.080002,7534000.0,Healthcare-Merck
2012-09-19,44.509998,9818100.0,Healthcare-Merck
2012-09-20,44.889999,9965000.0,Healthcare-Merck
2012-09-21,44.91,20254600.0,Healthcare-Merck
2012-09-24,45.139999,9989300.0,Healthcare-Merck
2012-09-25,45.110001,12805200.0,Healthcare-Merck
2012-09-26,45.009998,12652800.0,Healthcare-Merck
2012-09-27,45.23,9834300.0,Healthcare-Merck
2012-09-28,45.099998,12497300.0,Healthcare-Merck
2012-10-01,45.220001,8553700.0,Healthcare-Merck
2012-10-02,45.470001,7429500.0,Healthcare-Merck
2012-10-03,45.779999,8455800.0,Healthcare-Merck
2012-10-04,46.119999,8953800.0,Healthcare-Merck
2012-10-05,46.279999,11893000.0,Healthcare-Merck
2012-10-08,46.34,7033700.0,Healthcare-Merck
2012-10-09,46.169998,10030900.0,Healthcare-Merck
2012-10-10,45.599998,9475300.0,Healthcare-Merck
2012-10-11,45.450001,7022600.0,Healthcare-Merck
2012-10-12,45.619999,6844300.0,Healthcare-Merck
2012-10-15,46.59,10281300.0,Healthcare-Merck
2012-10-16,47.169998,11954200.0,Healthcare-Merck
2012-10-17,47.389999,10132900.0,Healthcare-Merck
2012-10-18,47.959999,10986100.0,Healthcare-Merck
2012-10-19,47.029999,12976500.0,Healthcare-Merck
2012-10-22,46.48,14021400.0,Healthcare-Merck
2012-10-23,45.889999,12504200.0,Healthcare-Merck
2012-10-24,45.880001,9639700.0,Healthcare-Merck
2012-10-25,46.299999,10971500.0,Healthcare-Merck
2012-10-26,46.150002,11940500.0,Healthcare-Merck
2012-10-31,45.630001,13535000.0,Healthcare-Merck
2012-11-01,45.939999,12166000.0,Healthcare-Merck
2012-11-02,46.0,11050500.0,Healthcare-Merck
2012-11-05,45.669998,8981200.0,Healthcare-Merck
2012-11-06,45.919998,8735300.0,Healthcare-Merck
2012-11-07,44.459999,24067900.0,Healthcare-Merck
2012-11-08,43.84,16329900.0,Healthcare-Merck
2012-11-09,44.049999,13995200.0,Healthcare-Merck
2012-11-12,44.02,7329800.0,Healthcare-Merck
2012-11-13,43.68,9599100.0,Healthcare-Merck
2012-11-14,43.049999,14206900.0,Healthcare-Merck
2012-11-15,42.799999,12283200.0,Healthcare-Merck
2012-11-16,43.07,16636500.0,Healthcare-Merck
2012-11-19,43.34,9189700.0,Healthcare-Merck
2012-11-20,43.560001,10905100.0,Healthcare-Merck
2012-11-21,43.889999,7288000.0,Healthcare-Merck
2012-11-23,44.279999,4477800.0,Healthcare-Merck
2012-11-26,44.200001,9381100.0,Healthcare-Merck
2012-11-27,43.880001,8869200.0,Healthcare-Merck
2012-11-28,44.599998,10614800.0,Healthcare-Merck
2012-11-29,44.709999,9559500.0,Healthcare-Merck
2012-11-30,44.299999,15017200.0,Healthcare-Merck
2012-12-03,44.439999,11620100.0,Healthcare-Merck
2012-12-04,44.400002,9996900.0,Healthcare-Merck
2012-12-05,44.389999,11647000.0,Healthcare-Merck
2012-12-06,44.509998,8817000.0,Healthcare-Merck
2012-12-07,44.630001,7869500.0,Healthcare-Merck
2012-12-10,44.48,9347500.0,Healthcare-Merck
2012-12-11,45.189999,13583500.0,Healthcare-Merck
2012-12-12,45.259998,11250000.0,Healthcare-Merck
2012-12-13,43.950001,13744400.0,Healthcare-Merck
2012-12-14,43.540001,13186000.0,Healthcare-Merck
2012-12-17,43.630001,13280200.0,Healthcare-Merck
2012-12-18,44.240002,14081000.0,Healthcare-Merck
2012-12-19,43.66,11693100.0,Healthcare-Merck
2012-12-20,42.16,33648000.0,Healthcare-Merck
2012-12-21,41.52,28709200.0,Healthcare-Merck
2012-12-24,41.419998,6482700.0,Healthcare-Merck
2012-12-26,41.34,7129500.0,Healthcare-Merck
2012-12-27,41.200001,11401600.0,Healthcare-Merck
2012-12-28,40.639999,11319400.0,Healthcare-Merck
2012-12-31,40.939999,14317400.0,Healthcare-Merck
2013-01-02,41.34,15956900.0,Healthcare-Merck
2013-01-03,42.330002,23543400.0,Healthcare-Merck
2013-01-04,41.970001,15428500.0,Healthcare-Merck
2013-01-07,42.119999,11503600.0,Healthcare-Merck
2013-01-08,42.18,14750900.0,Healthcare-Merck
2013-01-09,42.59,10073100.0,Healthcare-Merck
2013-01-10,42.779999,12970500.0,Healthcare-Merck
2013-01-11,43.23,12140100.0,Healthcare-Merck
2013-01-14,43.34,11117100.0,Healthcare-Merck
2013-01-15,42.869999,11876600.0,Healthcare-Merck
2013-01-16,42.540001,11909500.0,Healthcare-Merck
2013-01-17,42.75,15510600.0,Healthcare-Merck
2013-01-18,42.98,16434100.0,Healthcare-Merck
2013-01-22,43.200001,12232600.0,Healthcare-Merck
2013-01-23,42.82,14174300.0,Healthcare-Merck
